epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.6184,1.58837,3.0813,1.51951,0.36544,0.33257,0.28086,0.13853,1.76159,2.03542,1.57869,0.000237635,0.000237635,0.000237635
2,118.398,1.45233,2.01203,1.4468,0.5015,0.36991,0.37053,0.17778,1.8781,1.78835,1.68885,0.000459939,0.000459939,0.000459939
3,181.057,1.37014,1.79967,1.39918,0.55158,0.42569,0.43467,0.17738,1.94902,1.65248,1.72781,0.000666535,0.000666535,0.000666535
4,235.232,1.34126,1.70473,1.37951,0.54819,0.45928,0.45807,0.20672,1.86611,1.60073,1.65271,0.000643314,0.000643314,0.000643314
5,276.658,1.2852,1.61157,1.34368,0.61374,0.4703,0.46597,0.21055,1.9017,1.5368,1.71992,0.000619752,0.000619752,0.000619752
6,323.597,1.26413,1.56595,1.33683,0.69258,0.4549,0.51201,0.23976,1.78983,1.47738,1.60227,0.00059619,0.00059619,0.00059619
7,366.994,1.25852,1.52369,1.32553,0.66762,0.49804,0.5248,0.25032,1.80906,1.49264,1.64048,0.000572628,0.000572628,0.000572628
8,436.083,1.22926,1.48811,1.31286,0.70064,0.48782,0.53412,0.2436,1.82963,1.42861,1.62355,0.000549066,0.000549066,0.000549066
