epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.491,1.50628,2.87941,1.51061,0.50518,0.3392,0.35316,0.17135,1.75212,1.98643,1.62121,0.000237635,0.000237635,0.000237635
2,104.813,1.37667,1.95002,1.44156,0.63257,0.41104,0.47121,0.1992,1.85534,1.68334,1.74489,0.000381459,0.000381459,0.000381459
3,152.074,1.29485,1.7414,1.3901,0.58286,0.48453,0.49095,0.21919,1.78007,1.67835,1.64204,0.000431036,0.000431036,0.000431036
4,196.501,1.25544,1.6195,1.35776,0.67033,0.50897,0.5493,0.26469,1.7339,1.41229,1.60564,0.000289884,0.000289884,0.000289884
5,247.47,1.2021,1.50921,1.3206,0.65936,0.55922,0.57026,0.26535,1.79077,1.39227,1.64249,0.000148512,0.000148512,0.000148512
